"nrInst","nrAgencia","cdClient","nmClient","nrCpfCnpj","nrContrato","dtContrato","qtPrestacoes","vlTotal","cdProduto","dsProduto","cdCarteira","dsCarteira","nrProposta","nrPresta","tpPresta","nrSeqPre","dtVctPre","vlPresta","vlMora","vlMulta","vlOutAcr","vlIof","vlDescon","vlAtual","idSituac","idSitVen","isValidCpfOrCNPJ","isPaymentValid","vlTotalBRL","vlPrestaBRL","vlMoraBRL","vlMultaBRL","vlAtualBRL"
"1168","49","61378","CLIENTE 7","319123650392","443799","20230804","2","79551.55","1954","CDC PESSOA JURIDICA","1","CRÉDITO DIRETO AO CONSUMIDOR","314465","3","Original","0","20231228","48976.57","69820.06","64578.51","0","0","0","183375.14","Aberta","Vencida",false,,"R$ 79.551,55","R$ 48.976,57","R$ 69.820,06","R$ 64.578,51","R$ 183.375,14"
"230","21","30623","CLIENTE 8","449687639633","695456","20240408","8","10098.59","482","CDC PESSOA JURIDICA","19","CRÉDITO DIRETO AO CONSUMIDOR","413041","2","Original","0","20221003","4660.29","2087","72535.99","0","0","0","79283.28","Aberta","Vencida",false,,"R$ 10.098,59","R$ 4.660,29","R$ 2.087,00","R$ 72.535,99","R$ 79.283,28"
"230","21","30623","CLIENTE 8","449687639633","695456","20240408","8","10098.59","482","CDC PESSOA JURIDICA","19","CRÉDITO DIRETO AO CONSUMIDOR","413041","3","Original","0","20220501","48121.78","87599.87","32447.72","0","0","0","168169.37","Aberta","Vencida",false,,"R$ 10.098,59","R$ 48.121,78","R$ 87.599,87","R$ 32.447,72","R$ 168.169,37"
"230","21","30623","CLIENTE 8","449687639633","695456","20240408","8","10098.59","482","CDC PESSOA JURIDICA","19","CRÉDITO DIRETO AO CONSUMIDOR","413041","4","Original","0","20221203","62355.2","25814.16","34178.38","0","0","0","122347.73999999999","Aberta","Vencida",false,,"R$ 10.098,59","R$ 62.355,20","R$ 25.814,16","R$ 34.178,38","R$ 122.347,74"
"230","21","30623","CLIENTE 8","449687639633","695456","20240408","8","10098.59","482","CDC PESSOA JURIDICA","19","CRÉDITO DIRETO AO CONSUMIDOR","413041","5","Original","0","20230323","40612.86","49700.5","15354.39","0","0","0","105667.75","Aberta","Vencida",false,,"R$ 10.098,59","R$ 40.612,86","R$ 49.700,50","R$ 15.354,39","R$ 105.667,75"
"230","21","30623","CLIENTE 8","449687639633","695456","20240408","8","10098.59","482","CDC PESSOA JURIDICA","19","CRÉDITO DIRETO AO CONSUMIDOR","413041","6","Original","0","20220901","43452.61","35545.7","19037.7","0","0","0","98036.01","Aberta","Vencida",false,,"R$ 10.098,59","R$ 43.452,61","R$ 35.545,70","R$ 19.037,70","R$ 98.036,01"
"230","21","30623","CLIENTE 8","449687639633","695456","20240408","8","10098.59","482","CDC PESSOA JURIDICA","19","CRÉDITO DIRETO AO CONSUMIDOR","413041","7","Original","0","20220613","56473.79","86517.69","20747.88","0","0","0","163739.36000000002","Aberta","Vencida",false,,"R$ 10.098,59","R$ 56.473,79","R$ 86.517,69","R$ 20.747,88","R$ 163.739,36"
"230","21","30623","CLIENTE 8","449687639633","695456","20240408","8","10098.59","482","CDC PESSOA JURIDICA","19","CRÉDITO DIRETO AO CONSUMIDOR","413041","8","Original","0","20220702","51319.37","35488.63","13984.44","0","0","0","100792.44","Aberta","Vencida",false,,"R$ 10.098,59","R$ 51.319,37","R$ 35.488,63","R$ 13.984,44","R$ 100.792,44"
"230","21","30623","CLIENTE 8","449687639633","695456","20240408","8","10098.59","482","CDC PESSOA JURIDICA","19","CRÉDITO DIRETO AO CONSUMIDOR","413041","9","Original","0","20220222","72391.49","8261.21","14915.66","0","0","0","95568.36000000002","Aberta","Vencida",false,,"R$ 10.098,59","R$ 72.391,49","R$ 8.261,21","R$ 14.915,66","R$ 95.568,36"
"1479","22","91476","CLIENTE 9","357114417821","164244","20230526","6","20198.69","695","CDC PESSOA JURIDICA","9","CRÉDITO DIRETO AO CONSUMIDOR","709327","2","Original","0","20220121","91978.67","66886.93","9483.28","0","0","0","168348.87999999998","Aberta","Vencida",false,,"R$ 20.198,69","R$ 91.978,67","R$ 66.886,93","R$ 9.483,28","R$ 168.348,88"
"1479","22","91476","CLIENTE 9","357114417821","164244","20230526","6","20198.69","695","CDC PESSOA JURIDICA","9","CRÉDITO DIRETO AO CONSUMIDOR","709327","3","Original","0","20230326","71784.33","79344.73","71769.04","0","0","0","222898.09999999998","Aberta","Vencida",false,,"R$ 20.198,69","R$ 71.784,33","R$ 79.344,73","R$ 71.769,04","R$ 222.898,10"
"1479","22","91476","CLIENTE 9","357114417821","164244","20230526","6","20198.69","695","CDC PESSOA JURIDICA","9","CRÉDITO DIRETO AO CONSUMIDOR","709327","4","Original","0","20230820","94082.74","50174.92","66610.84","0","0","0","210868.5","Aberta","Vencida",false,,"R$ 20.198,69","R$ 94.082,74","R$ 50.174,92","R$ 66.610,84","R$ 210.868,50"
"1479","22","91476","CLIENTE 9","357114417821","164244","20230526","6","20198.69","695","CDC PESSOA JURIDICA","9","CRÉDITO DIRETO AO CONSUMIDOR","709327","5","Original","0","20220511","91020.26","33598.67","84115.4","0","0","0","208734.33","Aberta","Vencida",false,,"R$ 20.198,69","R$ 91.020,26","R$ 33.598,67","R$ 84.115,40","R$ 208.734,33"
"1479","22","91476","CLIENTE 9","357114417821","164244","20230526","6","20198.69","695","CDC PESSOA JURIDICA","9","CRÉDITO DIRETO AO CONSUMIDOR","709327","6","Original","0","20221216","51239.39","75229.57","6163.54","0","0","0","132632.5","Aberta","Vencida",false,,"R$ 20.198,69","R$ 51.239,39","R$ 75.229,57","R$ 6.163,54","R$ 132.632,50"
"1479","22","91476","CLIENTE 9","357114417821","164244","20230526","6","20198.69","695","CDC PESSOA JURIDICA","9","CRÉDITO DIRETO AO CONSUMIDOR","709327","7","Original","0","20230305","569.1","11113.73","19118.48","0","0","0","30801.309999999998","Aberta","Vencida",false,,"R$ 20.198,69","R$ 569,10","R$ 11.113,73","R$ 19.118,48","R$ 30.801,31"
"1428","33","61188","CLIENTE 10","513362970403","180651","20231001","3","50393.18","1830","CDC PESSOA JURIDICA","20","CRÉDITO DIRETO AO CONSUMIDOR","430554","2","Original","0","20231115","47197.38","80361.25","55998.7","0","0","0","183557.33000000002","Aberta","Vencida",false,,"R$ 50.393,18","R$ 47.197,38","R$ 80.361,25","R$ 55.998,70","R$ 183.557,33"
"1428","33","61188","CLIENTE 10","513362970403","180651","20231001","3","50393.18","1830","CDC PESSOA JURIDICA","20","CRÉDITO DIRETO AO CONSUMIDOR","430554","3","Original","0","20220522","62607.93","62451.04","11900.14","0","0","0","136959.11","Aberta","Vencida",false,,"R$ 50.393,18","R$ 62.607,93","R$ 62.451,04","R$ 11.900,14","R$ 136.959,11"
"1428","33","61188","CLIENTE 10","513362970403","180651","20231001","3","50393.18","1830","CDC PESSOA JURIDICA","20","CRÉDITO DIRETO AO CONSUMIDOR","430554","4","Original","0","20231205","42730.28","53294.62","10928.27","0","0","0","106953.17","Aberta","Vencida",false,,"R$ 50.393,18","R$ 42.730,28","R$ 53.294,62","R$ 10.928,27","R$ 106.953,17"
"413","4","70842","CLIENTE 11","946598450311","764939","20240306","6","42372.64","599","CDC PESSOA JURIDICA","1","CRÉDITO DIRETO AO CONSUMIDOR","106098","2","Original","0","20230222","44616.91","45062.79","76709.36","0","0","0","166389.06","Aberta","Vencida",false,,"R$ 42.372,64","R$ 44.616,91","R$ 45.062,79","R$ 76.709,36","R$ 166.389,06"
"413","4","70842","CLIENTE 11","946598450311","764939","20240306","6","42372.64","599","CDC PESSOA JURIDICA","1","CRÉDITO DIRETO AO CONSUMIDOR","106098","3","Original","0","20220513","71777.88","84330.46","99986.27","0","0","0","256094.61000000004","Aberta","Vencida",false,,"R$ 42.372,64","R$ 71.777,88","R$ 84.330,46","R$ 99.986,27","R$ 256.094,61"
"413","4","70842","CLIENTE 11","946598450311","764939","20240306","6","42372.64","599","CDC PESSOA JURIDICA","1","CRÉDITO DIRETO AO CONSUMIDOR","106098","4","Original","0","20231024","4891.68","33017.11","28351.34","0","0","0","66260.13","Aberta","Vencida",false,,"R$ 42.372,64","R$ 4.891,68","R$ 33.017,11","R$ 28.351,34","R$ 66.260,13"
"413","4","70842","CLIENTE 11","946598450311","764939","20240306","6","42372.64","599","CDC PESSOA JURIDICA","1","CRÉDITO DIRETO AO CONSUMIDOR","106098","5","Original","0","20220424","28136.79","87971.31","40838.49","0","0","0","156946.59","Aberta","Vencida",false,,"R$ 42.372,64","R$ 28.136,79","R$ 87.971,31","R$ 40.838,49","R$ 156.946,59"
"413","4","70842","CLIENTE 11","946598450311","764939","20240306","6","42372.64","599","CDC PESSOA JURIDICA","1","CRÉDITO DIRETO AO CONSUMIDOR","106098","6","Original","0","20230212","38612.33","78913.71","11460.72","0","0","0","128986.76000000001","Aberta","Vencida",false,,"R$ 42.372,64","R$ 38.612,33","R$ 78.913,71","R$ 11.460,72","R$ 128.986,76"
"413","4","70842","CLIENTE 11","946598450311","764939","20240306","6","42372.64","599","CDC PESSOA JURIDICA","1","CRÉDITO DIRETO AO CONSUMIDOR","106098","7","Original","0","20240513","26582.95","75049.33","98882.44","0","0","0","200514.72","Aberta","Vencida",false,,"R$ 42.372,64","R$ 26.582,95","R$ 75.049,33","R$ 98.882,44","R$ 200.514,72"
"1990","29","11500","CLIENTE 12","293396464352","244864","20220720","5","25397.14","954","CDC PESSOA JURIDICA","18","CRÉDITO DIRETO AO CONSUMIDOR","393547","2","Original","0","20221104","4626.54","38586.51","50397.14","0","0","0","93610.19","Aberta","Vencida",false,,"R$ 25.397,14","R$ 4.626,54","R$ 38.586,51","R$ 50.397,14","R$ 93.610,19"
"1990","29","11500","CLIENTE 12","293396464352","244864","20220720","5","25397.14","954","CDC PESSOA JURIDICA","18","CRÉDITO DIRETO AO CONSUMIDOR","393547","3","Original","0","20230609","62264.46","92952.6","45420.09","0","0","0","200637.15","Aberta","Vencida",false,,"R$ 25.397,14","R$ 62.264,46","R$ 92.952,60","R$ 45.420,09","R$ 200.637,15"
"1990","29","11500","CLIENTE 12","293396464352","244864","20220720","5","25397.14","954","CDC PESSOA JURIDICA","18","CRÉDITO DIRETO AO CONSUMIDOR","393547","4","Original","0","20240924","50524.71","52143.35","56238.44","0","0","0","158906.5","Aberta","Vencida",false,,"R$ 25.397,14","R$ 50.524,71","R$ 52.143,35","R$ 56.238,44","R$ 158.906,50"
"1990","29","11500","CLIENTE 12","293396464352","244864","20220720","5","25397.14","954","CDC PESSOA JURIDICA","18","CRÉDITO DIRETO AO CONSUMIDOR","393547","5","Original","0","20241105","16026.48","37347.45","16089.05","0","0","0","69462.98","Aberta","Vencida",false,,"R$ 25.397,14","R$ 16.026,48","R$ 37.347,45","R$ 16.089,05","R$ 69.462,98"
"1990","29","11500","CLIENTE 12","293396464352","244864","20220720","5","25397.14","954","CDC PESSOA JURIDICA","18","CRÉDITO DIRETO AO CONSUMIDOR","393547","6","Original","0","20220404","81547.36","79788.09","8108.58","0","0","0","169444.03","Aberta","Vencida",false,,"R$ 25.397,14","R$ 81.547,36","R$ 79.788,09","R$ 8.108,58","R$ 169.444,03"
"222","13","36052","CLIENTE 13","984073507745","44358","20230406","7","74155.17","332","CDC PESSOA JURIDICA","16","CRÉDITO DIRETO AO CONSUMIDOR","832128","2","Original","0","20240928","1348.15","71397.08","49576.17","0","0","0","122321.4","Aberta","Vencida",false,,"R$ 74.155,17","R$ 1.348,15","R$ 71.397,08","R$ 49.576,17","R$ 122.321,40"
"222","13","36052","CLIENTE 13","984073507745","44358","20230406","7","74155.17","332","CDC PESSOA JURIDICA","16","CRÉDITO DIRETO AO CONSUMIDOR","832128","3","Original","0","20240808","63968.24","25656.09","97888.85","0","0","0","187513.18","Aberta","Vencida",false,,"R$ 74.155,17","R$ 63.968,24","R$ 25.656,09","R$ 97.888,85","R$ 187.513,18"
"222","13","36052","CLIENTE 13","984073507745","44358","20230406","7","74155.17","332","CDC PESSOA JURIDICA","16","CRÉDITO DIRETO AO CONSUMIDOR","832128","4","Original","0","20231106","62180.31","59527.89","58634.75","0","0","0","180342.95","Aberta","Vencida",false,,"R$ 74.155,17","R$ 62.180,31","R$ 59.527,89","R$ 58.634,75","R$ 180.342,95"
"222","13","36052","CLIENTE 13","984073507745","44358","20230406","7","74155.17","332","CDC PESSOA JURIDICA","16","CRÉDITO DIRETO AO CONSUMIDOR","832128","5","Original","0","20240223","44854.32","70112.32","36803.52","0","0","0","151770.16","Aberta","Vencida",false,,"R$ 74.155,17","R$ 44.854,32","R$ 70.112,32","R$ 36.803,52","R$ 151.770,16"
"222","13","36052","CLIENTE 13","984073507745","44358","20230406","7","74155.17","332","CDC PESSOA JURIDICA","16","CRÉDITO DIRETO AO CONSUMIDOR","832128","6","Original","0","20230213","44576.91","25016.76","73284.22","0","0","0","142877.89","Aberta","Vencida",false,,"R$ 74.155,17","R$ 44.576,91","R$ 25.016,76","R$ 73.284,22","R$ 142.877,89"
"222","13","36052","CLIENTE 13","984073507745","44358","20230406","7","74155.17","332","CDC PESSOA JURIDICA","16","CRÉDITO DIRETO AO CONSUMIDOR","832128","7","Original","0","20240213","37625.56","65691.61","3079.16","0","0","0","106396.33","Aberta","Vencida",false,,"R$ 74.155,17","R$ 37.625,56","R$ 65.691,61","R$ 3.079,16","R$ 106.396,33"
"222","13","36052","CLIENTE 13","984073507745","44358","20230406","7","74155.17","332","CDC PESSOA JURIDICA","16","CRÉDITO DIRETO AO CONSUMIDOR","832128","8","Original","0","20230705","81805.69","6358.5","84057.12","0","0","0","172221.31","Aberta","Vencida",false,,"R$ 74.155,17","R$ 81.805,69","R$ 6.358,50","R$ 84.057,12","R$ 172.221,31"
"732","34","67610","CLIENTE 14","767722459371","638576","20231012","4","65820.79","1356","CDC PESSOA JURIDICA","3","CRÉDITO DIRETO AO CONSUMIDOR","57101","2","Original","0","20230109","58255.23","56664.64","68707.35","0","0","0","183627.22","Aberta","Vencida",false,,"R$ 65.820,79","R$ 58.255,23","R$ 56.664,64","R$ 68.707,35","R$ 183.627,22"
"732","34","67610","CLIENTE 14","767722459371","638576","20231012","4","65820.79","1356","CDC PESSOA JURIDICA","3","CRÉDITO DIRETO AO CONSUMIDOR","57101","3","Original","0","20230723","81430.29","87626.88","2904.88","0","0","0","171962.05","Aberta","Vencida",false,,"R$ 65.820,79","R$ 81.430,29","R$ 87.626,88","R$ 2.904,88","R$ 171.962,05"
"732","34","67610","CLIENTE 14","767722459371","638576","20231012","4","65820.79","1356","CDC PESSOA JURIDICA","3","CRÉDITO DIRETO AO CONSUMIDOR","57101","4","Original","0","20240923","52300.14","59857.41","89799.33","0","0","0","201956.88","Aberta","Vencida",false,,"R$ 65.820,79","R$ 52.300,14","R$ 59.857,41","R$ 89.799,33","R$ 201.956,88"
"732","34","67610","CLIENTE 14","767722459371","638576","20231012","4","65820.79","1356","CDC PESSOA JURIDICA","3","CRÉDITO DIRETO AO CONSUMIDOR","57101","5","Original","0","20240124","73892.04","39805.25","6351.95","0","0","0","120049.23999999999","Aberta","Vencida",false,,"R$ 65.820,79","R$ 73.892,04","R$ 39.805,25","R$ 6.351,95","R$ 120.049,24"
